NAME,GEOID,variable,year,dataset,estimate
"Shelby County, Tennessee",47157,HUEST,2010,PEP,398273
"Shelby County, Tennessee",47157,HUEST,2011,PEP,398979
"Shelby County, Tennessee",47157,HUEST,2012,PEP,399547
"Shelby County, Tennessee",47157,HUEST,2013,PEP,400990
"Shelby County, Tennessee",47157,HUEST,2014,PEP,402246
"Shelby County, Tennessee",47157,HUEST,2015,PEP,402818
"Shelby County, Tennessee",47157,HUEST,2016,PEP,404141
"Shelby County, Tennessee",47157,HUEST,2017,PEP,405455
"Shelby County, Tennessee",47157,HUEST,2018,PEP,406116
"Shelby County, Tennessee",47157,HUEST,2019,PEP,407273
